Temperature,Rainfall,Humidity,Soil_Moisture,Wind_Speed,Drought_Severity
26.3,47.4,69.5,66.7,10.7,No Drought
24.7,156.1,23.5,9.3,22.6,No Drought
22.3,55.0,25.1,36.4,6.0,Mild
29.0,164.5,48.2,39.4,9.6,No Drought
33.8,84.7,40.7,59.4,22.9,No Drought
29.8,133.5,36.3,48.1,10.1,No Drought
30.7,19.1,39.7,55.0,9.4,No Drought
40.1,124.8,76.2,63.3,7.8,No Drought
29.0,90.4,85.0,69.7,22.2,No Drought
32.3,117.3,48.4,28.5,15.0,No Drought
37.7,33.6,83.4,45.4,18.5,Mild
29.9,147.4,42.5,68.0,9.8,No Drought
34.4,172.6,53.4,79.2,20.2,No Drought
39.2,43.3,35.8,71.7,20.2,No Drought
41.0,19.1,64.8,32.9,11.3,Mild
24.9,4.7,88.5,19.6,13.2,Severe
40.5,128.4,62.2,41.7,9.2,No Drought
31.8,121.4,45.0,60.6,24.5,No Drought
27.2,109.3,65.3,41.9,17.9,No Drought
31.2,46.4,28.6,41.2,23.7,Mild
41.6,78.2,82.2,67.9,11.1,No Drought
31.9,118.9,55.2,32.1,20.6,No Drought
28.6,99.4,51.5,69.5,20.3,No Drought
34.7,197.6,61.0,35.5,18.8,No Drought
26.8,27.3,63.7,29.6,24.3,Moderate
23.5,139.0,25.0,39.0,12.9,No Drought
24.6,80.9,67.8,62.2,7.6,No Drought
24.6,85.6,36.9,14.5,18.4,Mild
25.0,143.5,70.0,19.7,19.6,No Drought
24.8,138.5,77.6,76.4,16.5,No Drought
34.8,198.3,76.3,18.2,9.1,No Drought
25.6,25.7,58.7,47.6,15.1,Mild
28.9,20.8,56.4,48.4,11.2,Mild
39.9,144.9,30.0,41.7,13.5,No Drought
31.5,115.7,74.3,53.4,17.9,No Drought
35.4,54.8,39.0,22.2,19.9,Moderate
25.4,15.9,54.8,46.4,9.6,Mild
25.8,17.1,39.9,32.9,13.1,Mild
22.8,178.8,29.4,54.6,10.4,No Drought
25.4,38.4,64.1,15.6,9.0,Moderate
27.6,64.7,23.8,47.8,20.7,Mild
25.5,45.3,72.4,18.9,23.2,Moderate
23.8,71.0,42.2,25.9,12.4,Mild
24.4,13.9,20.0,21.4,20.0,Moderate
31.2,103.8,55.8,18.7,22.9,No Drought
26.1,13.5,23.3,66.9,21.9,No Drought
29.3,160.1,39.3,26.4,8.7,No Drought
32.1,46.7,69.5,74.5,24.1,No Drought
35.8,108.0,24.4,77.7,12.5,No Drought
22.8,176.0,78.8,47.8,11.8,No Drought
38.0,130.2,20.3,15.7,6.2,No Drought
34.6,106.6,37.3,33.1,14.7,No Drought
23.6,64.9,71.9,64.8,7.2,No Drought
39.5,66.6,42.1,32.6,10.0,Mild
40.4,133.9,27.1,11.5,11.3,No Drought
23.2,198.8,45.2,46.8,21.2,No Drought
27.5,132.4,38.9,68.4,22.5,No Drought
38.1,111.6,79.0,64.7,11.0,No Drought
37.0,146.1,41.9,18.1,22.2,No Drought
25.7,93.0,75.2,55.5,22.1,No Drought
26.2,12.0,82.4,21.5,20.3,Moderate
29.4,112.5,50.4,21.4,7.9,No Drought
31.7,191.5,83.7,70.6,18.8,No Drought
34.4,35.1,46.4,23.7,23.9,Moderate
29.4,138.0,87.5,24.7,18.7,No Drought
31.3,40.2,26.3,5.0,11.6,Moderate
36.9,107.2,68.1,70.3,15.0,No Drought
22.7,19.3,54.6,64.4,17.9,No Drought
27.0,90.1,47.1,52.0,15.2,No Drought
36.3,151.2,64.3,61.3,7.4,No Drought
39.9,69.5,69.3,16.4,11.2,Mild
32.2,133.0,20.3,39.4,21.0,No Drought
32.6,159.1,31.7,31.3,22.2,No Drought
24.1,185.4,69.9,12.0,7.7,No Drought
30.9,46.9,66.6,41.5,24.0,Mild
32.7,79.9,87.6,74.1,11.6,No Drought
26.8,30.5,73.3,8.0,18.2,Moderate
27.4,198.5,86.6,26.9,20.0,No Drought
29.5,185.4,69.2,20.6,21.2,No Drought
22.4,108.0,40.9,22.9,23.9,No Drought
28.4,168.4,27.4,73.1,11.3,No Drought
26.2,104.2,74.7,40.1,22.2,No Drought
28.5,124.7,65.1,40.0,7.6,No Drought
24.4,17.8,23.4,62.0,19.1,No Drought
39.8,151.1,45.2,16.6,19.8,No Drought
33.9,25.5,87.0,41.5,18.6,Mild
35.6,165.2,55.0,37.2,10.0,No Drought
37.8,156.4,50.3,49.8,22.5,No Drought
32.0,141.7,52.0,80.0,8.4,No Drought
23.7,7.2,34.6,62.7,6.1,No Drought
32.7,60.6,45.8,34.8,19.3,Mild
33.7,52.6,45.9,67.1,14.5,No Drought
36.9,72.0,23.7,17.8,22.0,Mild
30.6,17.5,73.7,7.3,12.7,Severe
24.6,187.4,49.2,20.3,8.4,No Drought
27.7,110.8,77.6,30.5,21.7,No Drought
29.3,61.1,79.5,43.3,16.0,Mild
34.9,79.4,34.8,51.1,8.8,No Drought
33.4,89.4,66.0,73.3,19.4,No Drought
29.1,120.1,53.1,43.2,15.2,No Drought
41.7,103.1,81.6,42.6,17.1,No Drought
34.1,183.9,35.1,8.8,14.2,No Drought
26.7,99.4,67.4,7.6,21.6,Mild
24.0,198.4,62.5,46.3,21.6,No Drought
25.1,170.3,40.7,37.9,19.2,No Drought
26.9,41.7,29.6,67.9,7.1,No Drought
25.2,186.1,65.6,17.1,21.8,No Drought
25.7,23.3,71.7,6.9,18.4,Severe
27.7,163.5,42.1,38.7,18.9,No Drought
25.5,76.1,65.1,22.8,12.3,Mild
39.9,175.6,47.7,8.7,22.6,No Drought
23.6,173.6,69.9,59.3,19.5,No Drought
32.5,161.2,33.9,13.4,7.3,No Drought
30.2,158.0,82.3,50.6,13.2,No Drought
41.6,60.9,40.1,26.1,22.7,Mild
24.2,16.2,45.7,18.0,5.9,Severe
30.0,80.6,24.1,33.5,24.2,Mild
41.4,34.7,27.8,65.1,18.6,No Drought
39.3,139.0,56.1,34.4,17.6,No Drought
38.3,69.2,38.7,61.3,10.4,No Drought
27.2,195.1,78.5,14.4,10.0,No Drought
25.4,128.2,21.0,63.0,23.8,No Drought
35.4,164.5,46.5,22.8,11.0,No Drought
40.6,26.5,43.6,55.8,20.5,No Drought
33.1,172.4,21.4,47.4,12.9,No Drought
33.4,184.6,28.7,74.7,7.8,No Drought
27.6,97.4,49.0,34.0,5.2,Mild
37.4,121.3,54.5,10.0,15.9,No Drought
25.7,153.0,48.3,6.4,24.5,No Drought
28.5,35.0,57.2,67.0,12.4,No Drought
30.5,100.5,61.7,44.4,12.1,No Drought
32.2,79.7,20.7,63.1,11.9,No Drought
26.8,29.3,52.5,22.6,15.4,Moderate
24.3,73.5,87.4,30.9,13.8,Mild
34.2,13.6,56.3,7.3,22.6,Severe
27.8,5.2,67.4,77.1,15.1,No Drought
33.6,27.0,41.8,55.1,15.2,No Drought
25.1,192.6,74.2,75.0,7.8,No Drought
31.6,109.9,74.1,24.9,24.7,No Drought
32.7,193.2,56.5,50.9,10.0,No Drought
23.0,86.5,88.3,55.9,6.5,No Drought
28.7,62.4,28.8,28.8,18.3,Mild
24.7,101.2,21.2,68.6,16.9,No Drought
23.3,87.9,73.9,76.0,13.3,No Drought
41.8,21.1,76.5,71.4,13.4,No Drought
28.4,128.2,28.4,60.4,20.7,No Drought
38.2,43.2,38.6,25.8,8.9,Moderate
27.1,123.9,21.2,26.1,21.4,No Drought
35.6,130.0,40.5,77.3,18.0,No Drought
37.2,30.4,74.1,5.8,13.4,Moderate
33.9,12.3,56.3,58.7,14.2,No Drought
31.4,156.2,44.4,58.0,10.1,No Drought
30.2,92.0,46.0,51.7,20.0,No Drought
29.0,11.6,20.1,79.3,15.3,No Drought
40.6,199.0,41.0,28.4,11.4,No Drought
38.6,11.6,65.3,30.5,16.9,Mild
41.3,139.0,88.2,10.9,24.9,No Drought
24.5,196.7,79.3,38.2,13.7,No Drought
36.6,47.8,21.7,24.6,23.4,Moderate
40.8,28.4,82.9,30.8,11.9,Mild
25.6,24.3,74.8,67.6,6.1,No Drought
23.3,60.7,74.6,75.2,9.1,No Drought
36.8,20.2,52.1,18.9,13.4,Severe
33.5,138.4,47.9,32.9,9.4,No Drought
38.8,12.5,41.2,74.6,5.0,No Drought
24.8,101.9,24.6,9.6,23.3,No Drought
37.9,199.3,36.0,11.9,21.9,No Drought
26.0,162.8,37.3,17.2,19.8,No Drought
25.3,123.0,53.9,49.6,8.4,No Drought
25.3,61.3,72.3,16.3,7.4,Mild
38.3,124.8,53.2,77.6,6.4,No Drought
35.3,105.4,24.0,38.5,19.5,No Drought
32.5,85.2,87.0,42.6,23.6,Mild
29.2,26.1,86.0,23.5,13.6,Moderate
39.5,177.3,75.0,40.3,7.4,No Drought
29.8,90.0,89.4,54.6,15.2,No Drought
38.3,38.9,58.1,61.3,12.0,No Drought
30.8,73.6,87.4,61.5,12.5,No Drought
29.5,82.8,25.3,48.3,17.4,Mild
31.3,165.5,45.6,72.8,19.4,No Drought
28.0,146.7,35.8,66.3,7.2,No Drought
37.0,153.9,33.7,61.8,5.7,No Drought
32.1,2.2,29.9,9.2,24.9,Severe
26.6,83.2,63.6,5.5,9.7,Mild
40.0,96.3,74.7,20.9,6.1,Mild
29.7,3.8,60.5,54.8,8.8,No Drought
32.9,52.0,30.3,35.8,5.8,Mild
40.1,152.1,76.8,35.2,12.8,No Drought
34.5,27.4,64.5,71.3,21.0,No Drought
24.3,107.1,47.2,72.2,11.8,No Drought
40.8,43.0,67.2,73.2,13.9,No Drought
34.6,2.4,38.2,28.5,18.5,Moderate
28.7,48.2,44.2,56.8,15.2,No Drought
24.8,195.2,84.2,25.4,22.2,No Drought
37.9,160.3,40.3,19.3,22.3,No Drought
34.4,191.9,52.9,18.8,5.2,No Drought
32.7,97.6,82.3,30.7,20.6,Mild
39.9,21.9,69.5,37.2,14.2,Mild
37.8,109.6,24.4,67.3,24.8,No Drought
25.0,90.9,30.3,14.0,14.7,Mild
28.2,168.9,20.5,60.1,24.7,No Drought
27.0,19.6,64.2,44.9,20.1,Mild
36.9,97.6,51.3,26.6,10.0,Mild
22.7,30.0,29.4,42.0,15.8,Mild
33.4,64.9,87.1,27.5,24.8,Mild
37.2,147.5,57.1,49.7,22.2,No Drought
39.5,95.2,36.9,37.5,6.9,Mild
28.8,75.2,55.0,17.3,19.1,Mild
38.4,78.9,67.6,13.7,11.9,Mild
24.2,91.9,25.3,46.0,5.1,Mild
38.9,157.0,39.2,72.7,13.1,No Drought
24.5,178.4,76.5,30.8,9.7,No Drought
29.9,191.1,52.2,60.0,21.4,No Drought
37.9,157.4,58.3,54.4,11.7,No Drought
25.0,63.1,50.3,74.9,21.6,No Drought
26.6,137.6,23.1,66.6,5.0,No Drought
36.4,87.5,31.6,47.5,11.2,Mild
36.4,50.9,51.2,54.3,9.8,No Drought
34.8,168.2,34.6,72.4,9.7,No Drought
35.9,7.7,23.5,35.0,6.4,Mild
32.9,180.4,79.1,29.5,8.7,No Drought
27.0,92.3,88.7,5.8,16.1,Mild
28.9,127.4,75.5,67.0,10.8,No Drought
25.6,131.9,79.8,65.1,13.3,No Drought
40.2,179.0,36.9,12.8,12.5,No Drought
33.7,127.3,87.2,48.3,22.5,No Drought
30.0,122.8,33.8,39.8,23.1,No Drought
31.2,13.3,86.6,13.9,14.9,Severe
40.9,103.7,89.6,78.5,11.6,No Drought
25.1,30.0,69.8,21.1,7.1,Moderate
33.7,147.5,88.7,10.0,24.1,No Drought
32.1,102.4,59.9,49.6,6.2,No Drought
34.2,136.0,38.2,60.4,11.0,No Drought
22.4,8.3,50.6,7.4,11.0,Severe
39.4,17.0,61.5,54.4,11.4,No Drought
40.6,143.3,25.1,44.9,8.3,No Drought
33.3,14.4,63.6,12.7,20.7,Severe
35.9,14.3,88.7,17.9,7.4,Severe
40.4,2.4,33.3,47.6,17.7,Mild
36.1,191.3,75.5,27.2,7.5,No Drought
25.1,147.5,83.6,75.4,6.4,No Drought
33.5,70.7,86.1,66.4,23.2,No Drought
34.1,59.3,87.2,78.8,8.8,No Drought
30.5,69.9,56.5,24.5,21.4,Mild
36.7,154.9,88.4,77.7,15.9,No Drought
40.7,132.3,73.0,37.3,6.6,No Drought
40.5,37.0,31.3,31.1,24.1,Mild
31.0,34.8,53.4,8.8,9.9,Moderate
24.3,19.7,70.3,9.0,22.2,Severe
41.7,132.1,37.3,56.9,8.4,No Drought
38.8,152.9,64.8,39.3,22.1,No Drought
24.5,53.0,66.7,22.0,5.3,Moderate
40.4,4.2,31.4,51.0,15.2,No Drought
39.4,16.4,59.6,24.0,20.4,Moderate
32.4,193.6,74.0,48.3,23.7,No Drought
33.8,59.1,54.9,31.9,23.2,Mild
30.0,153.8,20.8,66.8,21.4,No Drought
23.1,124.9,20.6,66.6,22.8,No Drought
28.7,76.4,45.0,40.8,9.0,Mild
38.1,41.1,84.8,31.3,10.7,Mild
22.1,24.3,36.0,32.2,10.8,Mild
28.7,123.0,64.4,65.4,12.5,No Drought
30.0,154.9,35.5,29.6,12.9,No Drought
32.7,128.8,42.5,20.7,15.9,No Drought
40.4,106.1,79.4,11.4,8.2,No Drought
28.9,8.4,71.0,40.0,18.8,Mild
28.9,193.7,26.7,41.2,8.4,No Drought
36.8,159.7,50.0,68.1,11.2,No Drought
31.0,58.6,22.0,21.6,15.1,Moderate
26.5,196.0,53.7,33.6,20.9,No Drought
31.0,120.4,66.4,65.6,19.8,No Drought
24.8,116.5,28.3,66.8,17.9,No Drought
25.5,149.6,40.2,33.8,8.1,No Drought
32.0,162.4,47.8,39.4,15.9,No Drought
30.4,131.3,84.4,27.7,6.7,No Drought
40.3,25.6,89.5,74.9,12.5,No Drought
29.2,67.7,23.1,13.9,13.3,Mild
33.6,185.6,73.3,75.0,5.8,No Drought
34.6,44.9,46.0,56.3,10.5,No Drought
22.3,74.4,47.5,44.9,24.1,Mild
35.3,86.4,72.8,7.4,24.1,Mild
25.6,87.9,84.3,40.7,12.0,Mild
41.2,122.6,86.6,35.6,5.9,No Drought
25.0,188.6,60.4,17.1,8.6,No Drought
30.3,48.1,45.0,54.2,12.8,No Drought
23.7,24.3,75.1,77.8,24.0,No Drought
41.9,39.5,37.6,47.2,7.8,Mild
32.0,177.4,59.5,58.6,20.3,No Drought
33.9,129.2,45.1,10.1,7.2,No Drought
23.3,57.2,66.0,36.3,24.6,Mild
37.0,163.2,36.8,13.7,12.6,No Drought
26.2,172.3,33.4,51.0,20.5,No Drought
40.0,169.3,84.3,75.4,11.9,No Drought
26.1,183.8,27.1,54.6,17.6,No Drought
25.8,50.4,55.4,10.8,8.8,Moderate
22.7,151.0,35.5,31.6,7.9,No Drought
31.4,92.1,22.7,46.3,23.8,Mild
33.3,168.4,22.5,35.2,23.4,No Drought
23.3,145.7,32.3,67.5,22.7,No Drought
37.5,155.3,80.7,66.1,17.5,No Drought
31.1,131.2,39.8,50.9,21.2,No Drought
32.5,35.5,86.5,33.0,6.4,Mild
30.8,109.0,60.7,24.2,11.7,No Drought
30.0,196.9,50.6,12.9,11.3,No Drought
33.2,187.5,60.6,31.6,17.7,No Drought
25.1,8.6,56.2,36.0,12.1,Mild
25.6,33.0,73.1,55.7,8.0,No Drought
39.2,26.3,39.8,54.4,16.9,No Drought
40.9,145.2,44.7,10.3,21.3,No Drought
29.5,163.6,82.6,34.6,12.6,No Drought
27.4,42.7,86.3,18.6,7.6,Moderate
34.9,101.2,82.5,16.8,8.9,No Drought
30.2,168.1,49.4,67.0,9.7,No Drought
22.5,146.6,74.6,8.1,11.0,No Drought
25.1,108.4,53.3,36.4,17.9,No Drought
36.3,118.1,54.8,17.6,17.0,No Drought
35.2,101.7,34.3,70.9,18.9,No Drought
22.5,59.5,61.4,46.8,12.3,Mild
26.4,113.0,33.0,22.4,21.5,No Drought
26.6,137.8,43.2,42.7,9.1,No Drought
35.4,174.7,79.9,59.9,14.4,No Drought
22.4,127.3,34.5,76.9,21.0,No Drought
24.1,152.2,25.0,21.5,8.6,No Drought
38.0,32.0,24.8,71.5,7.2,No Drought
25.6,92.3,85.9,75.1,22.7,No Drought
35.1,1.9,55.5,73.7,11.9,No Drought
26.8,49.3,48.7,52.7,18.7,No Drought
24.0,145.3,76.8,52.2,5.5,No Drought
26.9,198.4,78.5,35.2,18.8,No Drought
36.4,19.8,43.3,61.4,11.3,No Drought
39.1,80.3,68.6,44.8,6.1,Mild
38.6,160.0,74.0,55.8,17.2,No Drought
29.9,40.8,65.8,37.1,9.8,Mild
35.4,111.0,30.6,59.9,12.7,No Drought
26.1,146.6,81.3,66.8,6.6,No Drought
27.9,123.2,57.7,16.0,7.9,No Drought
39.9,37.6,39.8,67.5,11.0,No Drought
22.3,71.1,49.8,45.5,6.8,Mild
23.7,156.8,22.6,68.3,23.2,No Drought
26.2,110.8,29.0,37.3,5.1,No Drought
22.5,1.0,73.6,33.4,14.7,Mild
25.6,152.2,20.0,73.6,7.5,No Drought
33.7,7.1,49.2,23.8,11.2,Moderate
30.4,149.1,56.6,68.3,23.5,No Drought
39.9,40.5,23.8,41.3,8.2,Mild
38.3,191.6,88.1,43.6,24.3,No Drought
28.8,73.6,35.8,28.1,9.1,Mild
27.2,65.4,41.3,48.0,19.8,Mild
29.6,29.8,41.3,29.4,15.9,Moderate
33.8,61.1,36.1,7.9,22.7,Mild
27.4,175.3,20.1,25.4,16.1,No Drought
34.5,199.3,71.1,5.5,15.7,No Drought
30.2,73.7,87.7,78.4,8.9,No Drought
33.0,89.7,35.7,77.4,8.3,No Drought
30.7,144.4,66.4,34.6,23.3,No Drought
27.9,177.2,71.9,59.6,11.6,No Drought
41.0,118.6,79.4,30.9,12.4,No Drought
37.3,78.3,49.6,55.3,20.2,No Drought
24.8,82.5,41.2,65.4,11.8,No Drought
39.4,139.1,42.8,76.0,24.0,No Drought
31.7,0.6,69.9,35.0,19.8,Mild
39.9,123.9,77.2,63.7,16.9,No Drought
38.0,71.1,32.7,24.9,22.6,Mild
30.5,158.8,46.0,79.3,6.0,No Drought
22.4,18.6,83.1,6.9,10.1,Severe
27.4,117.6,76.5,50.3,14.3,No Drought
32.8,96.2,88.9,54.5,9.5,No Drought
34.7,128.5,72.8,56.6,19.9,No Drought
27.2,13.0,47.5,14.0,23.4,Severe
24.8,116.0,61.3,75.4,13.5,No Drought
38.7,112.3,66.3,18.6,11.8,No Drought
41.7,112.1,25.5,51.7,24.2,No Drought
32.5,120.7,58.1,21.7,13.9,No Drought
25.4,135.3,69.7,28.0,14.8,No Drought
27.4,161.0,31.7,46.0,12.0,No Drought
22.4,54.0,74.6,36.3,23.2,Mild
40.3,165.0,60.9,17.0,16.4,No Drought
24.4,99.7,86.7,17.8,20.2,Mild
33.5,15.4,23.0,36.4,21.2,Mild
27.5,11.7,38.6,61.8,11.8,No Drought
33.1,66.8,62.1,72.3,13.7,No Drought
35.0,157.0,40.8,11.3,22.0,No Drought
38.6,141.5,70.0,34.5,12.3,No Drought
26.1,157.7,73.1,12.5,20.9,No Drought
22.2,103.5,27.2,6.2,23.8,No Drought
24.7,88.0,56.0,54.6,17.5,No Drought
40.0,29.5,55.6,50.2,19.8,No Drought
39.5,65.6,45.8,17.2,21.1,Mild
33.9,86.8,85.3,22.5,21.9,Mild
34.0,17.7,77.9,6.8,12.9,Severe
35.3,44.1,68.8,67.6,6.0,No Drought
25.5,119.6,70.0,78.1,13.0,No Drought
40.3,147.1,52.3,15.2,18.5,No Drought
30.4,199.7,84.5,22.4,14.0,No Drought
29.7,186.6,68.6,70.1,20.0,No Drought
32.4,128.5,71.0,74.5,12.1,No Drought
22.9,84.2,80.3,36.5,17.7,Mild
25.3,127.2,39.2,8.8,8.7,No Drought
36.8,157.1,76.5,8.0,20.0,No Drought
23.7,23.7,33.7,48.0,15.9,Mild
34.1,82.0,44.2,34.5,9.1,Mild
26.9,168.0,43.5,7.1,10.8,No Drought
29.8,76.8,88.5,48.7,20.0,Mild
27.8,114.4,80.0,5.8,14.7,No Drought
29.1,117.6,69.1,64.1,9.3,No Drought
36.4,36.9,70.9,28.0,24.3,Moderate
27.9,72.4,59.3,8.0,19.3,Mild
33.3,66.9,86.3,49.1,24.1,Mild
31.5,5.2,54.7,34.8,13.5,Mild
35.3,4.8,46.6,78.0,14.5,No Drought
40.7,166.3,31.4,45.8,23.0,No Drought
36.7,54.6,75.0,25.6,15.5,Moderate
26.3,103.6,71.4,58.2,19.1,No Drought
22.6,59.7,46.9,25.4,10.0,Moderate
27.2,188.1,21.8,72.8,13.9,No Drought
33.9,51.9,78.7,33.1,7.5,Mild
23.0,85.9,20.8,46.2,9.1,Mild
31.9,174.5,69.3,8.8,5.0,No Drought
33.9,168.4,87.9,37.0,5.8,No Drought
28.7,37.2,50.6,67.4,24.5,No Drought
37.4,160.5,36.4,65.4,9.8,No Drought
24.1,91.6,69.3,21.8,18.3,Mild
23.5,96.6,77.2,22.0,21.8,Mild
36.6,26.7,58.3,66.3,16.0,No Drought
31.9,16.1,87.7,74.8,8.1,No Drought
35.8,145.6,23.6,12.2,19.6,No Drought
30.7,99.3,55.3,38.8,17.0,Mild
26.9,87.4,70.3,30.3,19.6,Mild
38.4,145.9,80.4,70.3,20.4,No Drought
38.0,153.1,32.5,11.3,24.5,No Drought
35.9,31.8,76.0,20.8,16.5,Moderate
27.4,122.0,58.7,61.4,11.8,No Drought
33.8,27.1,47.8,8.8,18.0,Severe
29.2,150.3,29.2,41.9,6.4,No Drought
23.8,131.4,80.6,38.2,22.9,No Drought
40.3,191.3,31.0,30.1,7.4,No Drought
24.7,13.8,41.7,34.6,11.6,Mild
41.0,11.4,40.3,44.7,21.3,Mild
30.9,56.4,81.0,17.1,16.9,Moderate
